Τμήμα;Γεωγραφικό πλάτος (μοίρες);Γεωγραφικό μήκος (μοίρες);Χρόνος;
phillip;37977605;23729664;21:26:21;
alex;37977181;23723275;21:26:22;
elina;37976846;23728833;21:26:23;
alex;37977184;23723243;21:26:24;
elina;37976714;23728933;21:26:25;
alex;37977129;23723247;21:26:26;
elina;37976667;23729049;21:26:27;
phillip;37977622;23729802;21:26:27;
alex;37977127;23723197;21:26:29;
elina;37976756;23729151;21:26:29;
alex;37977122;23723166;21:26:30;
alex;37977164;23723155;21:26:32;
elena;37975769;23724725;21:26:32;
elena;37975769;23724725;21:26:32;
phillip;37977608;23729919;21:26:32;
alex;37977166;2372314;21:26:33;
phillip;37977625;23730060;21:26:36;
alex;37977153;2372309;21:26:37;
elena;37975820;23724623;21:26:37;
elena;37975820;23724623;21:26:37;
elina;37976707;23729243;21:26:37;
alex;37977164;23723077;21:26:38;
alex;37977184;23723033;21:26:40;
alex;37977188;23723014;21:26:41;
elina;37976737;23729351;21:26:41;
elisavet;37978853;23726008;21:26:42;
phillip;37977610;23730190;21:26:42;
alex;37977195;23722968;21:26:44;
alex;37977199;23722953;21:26:45;
elina;37976755;23729458;21:26:46;
elena;37975878;23724514;21:26:48;
elena;37975878;23724514;21:26:48;
alex;37977222;23722914;21:26:50;
phillip;37977645;23730301;21:26:50;
alex;37977228;23722904;21:26:51;
elina;37976703;23729548;21:26:53;
alex;37977256;2372286;21:26:58;
alex;37977262;23722856;21:26:59;
elena;37975928;23724367;21:26:59;
elena;37975928;23724367;21:26:59;
elina;;;21:26:59;ok..now we did cleaned out our log
elina;;;21:26:59;google rules!!!
elina;;;21:26:59;Hello Athens
elina;;;21:26:59;get ready
elina;;;21:26:59;ok..now we did cleaned out our log
elina;;;21:26:59;google rules!!!
elina;;;21:26:59;Hello Athens
elina;37976635;23729621;21:27:00;
phillip;37977637;23730427;21:27:01;
alex;37977269;23722817;21:27:02;
elina;;;21:27:02;get ready
elina;;;21:27:02;get ready
alex;37977269;23722799;21:27:03;
elena;37975943;23724210;21:27:05;
elena;37975943;23724210;21:27:05;
alex;37977282;23722754;21:27:06;
elina;37976637;23729728;21:27:06;
alex;37977284;2372274;21:27:07;
alex;37977301;23722703;21:27:09;
alex;37977307;23722685;21:27:10;
phillip;37977643;23730543;21:27:10;
alex;37977324;23722646;21:27:12;
elena;37975937;23724087;21:27:12;
elena;37975937;23724087;21:27:12;
kostantinos;379777283,3;2372380833;21:27:12;
kostantinos;379777283,3;2372380833;21:27:12;
alex;37977329;23722626;21:27:13;
kostantinos;37977,735;2372381333;21:27:13;
kostantinos;3797,774;2372380833;21:27:14;
kostantinos;37977,745;2372380167;21:27:15;
kostantinos;379777483,3;237238;21:27:16;
alex;37977329;23722572;21:27:16;
alex;37977336;23722549;21:27:17;
elina;37976646;23729836;21:27:17;
kostantinos;379777516,7;2372379667;21:27:17;
kostantinos;379777783,3;2372381;21:27:19;
